movieId,userId,rating,timestamp,tmdbId
1,1,4.0,964982703,862
3,1,4.0,964981247,15602
6,1,4.0,964982224,949
47,1,5.0,964983815,807
50,1,5.0,964982931,629
70,1,3.0,964982400,755
101,1,5.0,964980868,13685
110,1,4.0,964982176,197
151,1,5.0,964984041,11780
157,1,5.0,964984100,1775
163,1,5.0,964983650,8068
216,1,5.0,964981208,11017
223,1,3.0,964980985,2292
231,1,5.0,964981179,8467
235,1,4.0,964980908,522
260,1,5.0,964981680,11
296,1,3.0,964982967,680
316,1,3.0,964982310,2164
349,1,4.0,964982563,9331
356,1,4.0,964980962,13
362,1,5.0,964982588,10714
367,1,4.0,964981710,854
423,1,3.0,964982363,178
441,1,4.0,964980868,9571
457,1,5.0,964981909,5503
480,1,4.0,964982346,329
500,1,3.0,964981208,788
527,1,5.0,964984002,424
543,1,4.0,964981179,10442
552,1,4.0,964982653,10057
553,1,5.0,964984153,11969
590,1,4.0,964982546,581
592,1,4.0,964982271,268
593,1,4.0,964983793,274
596,1,5.0,964982838,10895
648,1,3.0,964982563,954
673,1,3.0,964981775,2300
733,1,4.0,964982400,9802
736,1,3.0,964982653,664
780,1,3.0,964984086,602
804,1,4.0,964980499,11363
919,1,5.0,964982475,630
923,1,5.0,964981529,15
940,1,5.0,964982176,10907
943,1,4.0,964983614,22292
954,1,5.0,964983219,3083
1023,1,5.0,964982681,81310
1024,1,5.0,964982876,15947
1025,1,5.0,964982791,9078
1029,1,5.0,964982855,11360
1030,1,3.0,964982903,11114
1031,1,5.0,964982653,12335
1049,1,5.0,964982400,10586
1060,1,4.0,964980924,10218
1080,1,5.0,964981327,583
1089,1,5.0,964982951,500
1090,1,4.0,964984018,792
1092,1,5.0,964983484,402
1127,1,4.0,964982513,2756
1196,1,5.0,964981827,1891
1197,1,5.0,964981872,2493
1206,1,5.0,964983737,185
1208,1,4.0,964983250,28
1210,1,5.0,964980499,1892
1214,1,4.0,964981855,348
1219,1,2.0,964983393,539
1224,1,5.0,964984018,10705
1226,1,5.0,964983618,3109
1240,1,5.0,964983723,218
1256,1,5.0,964981442,3063
1258,1,3.0,964983414,694
1265,1,4.0,964983599,137
1270,1,5.0,964983705,105
1275,1,5.0,964982290,8009
1278,1,5.0,964983414,3034
1282,1,5.0,964982703,756
1298,1,5.0,964984086,12104
1348,1,4.0,964983393,653
1396,1,3.0,964983017,2322
1445,1,3.0,964984112,14908
1473,1,4.0,964980875,19952
1500,1,4.0,964980985,9434
1517,1,5.0,964981107,816
1552,1,4.0,964982620,1701
1580,1,3.0,964981125,607
1587,1,5.0,964982346,9387
1620,1,4.0,964983056,9437
1625,1,5.0,964983504,2649
1644,1,3.0,964983536,3597
