tmdbId,Adventure,Animation,Children,Comedy,Fantasy,1990s,Romance,Action,Crime,Thriller,Mystery,Horror,Drama,War,Western,Sci-Fi,Musical,2000 st,2000 end,IMAX,2010 st,Documentary,latest,Film-Noir
2,0.0,0.0,0.0,0.0,0.0,0.6835029392380876,0.0,0.0,0.0,0.0,0.0,0.0,0.7299477598108616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.7560638013180531,0.0,0.6544979208037988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.3285483221251937,0.0,0.5189279689979402,0.6005572795409266,0.5119577297109537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5541434029929287,0.0,0.0,0.0,0.0,0.30823108221649326,0.0,0.48683776085666003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6007559267116216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.43338476947543436,0.5368286602538065,0.5250794949679508,0.2784697870800853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4132054365138501,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.3260808484554388,0.0,0.2822767562155039,0.46909914037846,0.0,0.0,0.0,0.0,0.0,0.3014577904754414,0.7092674461928228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.4516509209214322,0.7505721037605819,0.0,0.0,0.0,0.0,0.0,0.48234112688763814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.37118917487341974,0.0,0.0,0.0,0.0,0.8396881521559925,0.0,0.3964119115082753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256984402807984,0.0,0.0,0.0,0.787808631627642,0.5227600653566006,0.0,0.0,0.0,0.0,0.0,0.0
18,0.5220384168029549,0.0,0.0,0.33543386157917077,0.0,0.29037333170564317,0.0,0.45863221062427684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5659503860763799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.41032942402889194,0.0,0.0,0.0,0.0,0.0,0.0,0.43821178616766415,0.0,0.0,0.7997500823631487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.6354022254272242,0.0,0.0,0.0,0.0,0.0,0.40832935823743577,0.0,0.0,0.0,0.0,0.6553862579605517,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.38110226467631275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9245328895494123,0.0,0.0
22,0.47490123155690156,0.0,0.0,0.30514603684801794,0.5497856631325103,0.0,0.0,0.417220255534076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45278880225521534,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4719061279624179,0.5461387270280802,0.46556748593615555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121367134572113,0.0,0.0,0.0,0.0,0.0,0.0
